,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,available_date,lat_lon,closest_aldi,closest_sainsburys,closest_tesco,closest_superdrug,closest_asda,closest_lidl,closest_boots,minutes_from_TCR
41,1275,1 bedroom flat,"Bailey Close, Bounds Green",http://www.rightmove.co.uk/properties/124713989#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Barnard-Marcus-Lettings/Muswell-Hill-Lettings-129652.html,,,1,2022-07-06 15:58:10.018939,2022-07-06 15:58:26.747885,"51.602938,-0.124893",3.52,7.05,6.42,3.52,3.99,4.46,7.39,38
42,1575,1 bedroom flat,"South End Close, London",http://www.rightmove.co.uk/properties/124713434#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Day-Morris/Hampstead-189104.html,,,1,2022-07-06 15:58:10.018939,2022-07-29 00:00:00.000000,"51.513263,-0.089878",3.82,1.3,0.13,0.33,2.05,2.43,0.72,14
43,1400,1 bedroom flat,"Arklow Road, London",http://www.rightmove.co.uk/properties/124237115#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Peter-James-Estate-Agents/New-Cross-118051.html,,,1,2022-07-06 15:58:10.018939,,"51.513263,-0.089878",3.82,1.3,0.13,0.33,2.05,2.43,0.72,14
44,1300,1 bedroom flat,"Farrow Lane,  New Cross, SE14",http://www.rightmove.co.uk/properties/124712147#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Reside/New-Cross-9349.html,SE14,,1,2022-07-06 15:58:10.018939,2022-09-08 00:00:00.000000,"51.4796064,-0.0520788",0.26,3.66,4.67,4.3,1.35,2.56,4.8,43
45,1700,2 bedroom flat,"Coldharbour Lane, Brixton",http://www.rightmove.co.uk/properties/111978893#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/haart/Brixton---Lettings-50457.html,,,2,2022-07-06 15:58:10.018939,2022-08-15 00:00:00.000000,"51.47002035,-0.094809799951691",2.9,2.76,4.85,4.22,2.36,1.84,4.83,37
46,1700,1 bedroom apartment,"Skyline Apartments, Makers Yard, E3",http://www.rightmove.co.uk/properties/124711598#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Regent-Letting-and-Property-Management/London-87187.html,E3,,1,2022-07-06 15:58:10.018939,2022-07-06 15:58:28.741621,"51.54745,-0.023814",2.44,3.45,5.47,3.52,1.37,2.22,5.24,41
47,1668,1 bedroom apartment,"Lyndhurst Gardens, Hampstead, NW3",http://www.rightmove.co.uk/properties/124711589#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Admiral-Property-Partnership-Ltd/London-141935.html,NW3,,1,2022-07-06 15:58:10.018939,,"51.552495,-0.171108",2.18,2.49,2.73,3.67,7.32,2.11,2.68,26
48,1560,1 bedroom flat,"Canning Road, Stratford, E15",http://www.rightmove.co.uk/properties/124711055#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Square-Quarters/Islington-76064.html,E15,,1,2022-07-06 15:58:10.018939,2022-02-09 00:00:00.000000,"51.5307903,0.0026687",4.83,5.61,6.82,5.17,2.91,2.83,6.11,32
49,1260,2 bedroom flat,"Artemis, Aphrodite Court, Stratford, E15",http://www.rightmove.co.uk/properties/124710401#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/LandQ/London-and-Quadrant-Housing-Trust-156386.html,E15,,2,2022-07-06 15:58:10.018939,2022-01-08 00:00:00.000000,"51.509648,-0.099076",4.29,1.4,0.67,0.56,2.81,2.27,1.26,23
50,1650,1 bedroom flat,"Commercial Road, London E1",http://www.rightmove.co.uk/properties/124722596#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/ludlowthompson/City-Docklands-5480.html,E1,,1,2022-07-06 15:58:10.018939,2022-08-20 00:00:00.000000,"51.5124164,-0.0319855",3.99,4.86,4.15,2.58,1.65,0.32,3.6,30
51,1599,2 bedroom flat,Medway House,http://www.rightmove.co.uk/properties/124709954#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/1-Ability-Estate-Agents/London-181787.html,,,2,2022-07-06 15:58:10.018939,,"51.4997705,-0.08826375528163417",3.25,0.93,1.55,1.5,2.13,0.95,2.08,25
52,1650,1 bedroom flat,"Mowbray Road, Brondesbury, NW6",http://www.rightmove.co.uk/properties/124709951#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Paramount/London---Lettings-62636.html,NW6,,1,2022-07-06 15:58:10.018939,2022-08-20 00:00:00.000000,"51.5449551,-0.2077177",0.95,4.66,5.16,5.31,9.34,4.58,4.7,29
